ID,Include,Invited_nb,Invited_W,Org_nb,Org_W,rInv,rOrg,,
ESEB_S_1,TRUE,2,1,2,1,0.5,0.5,,
ESEB_S_2,TRUE,2,1,3,0,0.5,0,,
ESEB_S_3,TRUE,2,2,2,2,1,1,,
ESEB_S_4,TRUE,2,1,2,1,0.5,0.5,,
ESEB_S_5,TRUE,2,0,3,0,0,0,,
ESEB_S_6,TRUE,2,0,2,0,0,0,,
ESEB_S_7,TRUE,2,1,3,1,0.5,0.3333333333,,
ESEB_S_8,TRUE,3,2,5,1,0.6666666667,0.2,,
ESEB_S_9,TRUE,2,1,2,2,0.5,1,,
ESEB_S_10,TRUE,2,1,2,1,0.5,0.5,,
ESEB_S_11,TRUE,2,2,2,1,1,0.5,,
ESEB_S_12,TRUE,2,1,5,2,0.5,0.4,,
ESEB_S_13,TRUE,2,1,2,1,0.5,0.5,,
ESEB_S_14,TRUE,2,1,4,1,0.5,0.25,,
ESEB_S_15,TRUE,2,1,2,1,0.5,0.5,,
ESEB_S_16,TRUE,2,1,5,1,0.5,0.2,,
ESEB_S_17,TRUE,2,1,3,3,0.5,1,,
ESEB_S_18,TRUE,2,0,2,0,0,0,,
ESEB_S_19,TRUE,2,1,3,1,0.5,0.3333333333,,
ESEB_S_20,TRUE,2,1,4,3,0.5,0.75,,
ESEB_S_21,TRUE,2,0,3,1,0,0.3333333333,,
ESEB_S_22,TRUE,2,0,7,1,0,0.1428571429,,
ESEB_S_23,TRUE,2,1,3,2,0.5,0.6666666667,,
ESEB_S_24,TRUE,2,1,5,1,0.5,0.2,,
ESEB_S_25,TRUE,2,1,4,2,0.5,0.5,,
ESEB_S_26,TRUE,2,1,4,2,0.5,0.5,,
ESEB_S_27,TRUE,2,1,5,1,0.5,0.2,,
ESEB_S_28,TRUE,2,0,5,1,0,0.2,,
ESEB_S_29,TRUE,2,1,4,0,0.5,0,,
ESEB_S_30,TRUE,2,0,2,0,0,0,,
ESEB_S_31,TRUE,2,1,5,4,0.5,0.8,,
ESEB_S_32,TRUE,2,1,2,0,0.5,0,,
ESEB_S_33,TRUE,2,1,2,2,0.5,1,,
ESEB_S_34,TRUE,2,0,2,0,0,0,0.4166666667,0.3826330532
ESEB_S_35,FALSE,NA,NA,NA,NA,,,,
,,,,,,,,,
,,,29,,40,,,,
